DIE	0	0	76090	76090
CELL	_555_	OAI21_X1	28909	64609	30429	67409
CELL	_556_	MUX2_X1	52020	63669	54680	66469
CELL	_557_	NAND2_X1	54530	61867	55670	64667
CELL	_558_	OAI21_X1	53619	57234	55139	60034
CELL	_559_	MUX2_X1	30937	40492	33597	43292
CELL	_560_	NAND2_X1	34913	40224	36053	43024
CELL	_561_	OAI21_X1	36224	40338	37744	43138
CELL	_562_	MUX2_X1	69181	33477	71841	36277
CELL	_563_	NAND2_X1	69192	32530	70332	35330
CELL	_564_	OAI21_X1	66812	32502	68332	35302
CELL	_565_	MUX2_X1	42311	32979	44971	35779
CELL	_566_	NAND2_X1	43705	33311	44845	36111
CELL	_567_	OAI21_X1	43404	33926	44924	36726
CELL	_568_	MUX2_X1	66271	4459	68931	7259
CELL	_569_	NAND2_X1	68000	5161	69140	7961
CELL	_570_	OAI21_X1	66866	6003	68386	8803
CELL	_571_	MUX2_X1	58884	5467	61544	8267
CELL	_572_	NAND2_X1	60995	7448	62135	10248
CELL	_573_	OAI21_X1	59628	12184	61148	14984
CELL	_574_	NAND2_X4	63314	50300	66734	53100
CELL	_575_	NAND3_X4	67378	51281	72318	54081
CELL	_576_	INV_X8	36570	32880	39990	35680
CELL	_577_	NAND2_X1	48287	19428	49427	22228
CELL	_578_	NAND4_X4	62050	50801	68890	53601
CELL	PHY_EDGE_ROW_2_Right_2	TAPCELL_X1	73340	8400	73720	11200
CELL	_580_	OAI21_X1	47481	18777	49001	21577
CELL	_581_	NOR2_X2	68171	58267	70071	61067
CELL	PHY_EDGE_ROW_1_Right_1	TAPCELL_X1	73340	5600	73720	8400
CELL	_583_	NAND2_X1	46324	18278	47464	21078
CELL	_584_	NAND2_X1	44056	4336	45196	7136
CELL	_585_	NOR2_X1	69114	51720	70254	54520
CELL	PHY_EDGE_ROW_0_Right_0	TAPCELL_X1	73340	2800	73720	5600
CELL	_587_	NAND2_X1	44418	7522	45558	10322
CELL	_588_	NAND3_X1	44011	6855	45531	9655
CELL	_589_	OAI22_X1	40650	15623	42550	18423
CELL	_590_	NAND2_X1	39267	12918	40407	15718
CELL	_591_	NAND2_X1	35250	4336	36390	7136
CELL	_592_	NAND2_X1	35710	7390	36850	10190
CELL	_593_	NAND3_X1	36210	7176	37730	9976
CELL	_594_	OAI22_X1	26272	15767	28172	18567
CELL	_595_	NAND2_X1	27603	13995	28743	16795
CELL	_596_	NAND2_X1	28678	4336	29818	7136
CELL	_597_	NAND2_X1	27746	8416	28886	11216
CELL	_598_	NAND3_X1	27683	8155	29203	10955
CELL	_599_	NAND2_X1	14525	20773	15665	23573
CELL	_600_	OAI21_X1	13155	20950	14675	23750
CELL	_601_	NAND2_X1	11473	20337	12613	23137
CELL	_602_	NAND2_X1	4718	18967	5858	21767
CELL	_603_	NAND2_X1	6771	18358	7911	21158
CELL	_604_	NAND3_X1	5436	19019	6956	21819
CELL	_605_	OAI22_X1	25544	31656	27444	34456
CELL	_606_	NAND2_X1	27606	33074	28746	35874
CELL	_607_	NAND2_X1	4718	32511	5858	35311
CELL	_608_	NAND2_X1	28521	33396	29661	36196
