 time            v(src)          v(A)            v(ZN)           v(load)         psupply        
 2.85600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833374e-08 
 3.05600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833377e-08 
 3.25600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833375e-08 
 3.45600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833377e-08 
 3.65600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833377e-08 
 3.85600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833378e-08 
 4.05600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833378e-08 
 4.25600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833379e-08 
 4.45600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833379e-08 
 4.65600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833382e-08 
 4.85600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833381e-08 
 5.05600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833382e-08 
 5.25600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833381e-08 
 5.45600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833383e-08 
 5.65600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833381e-08 
 5.85600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833383e-08 
 6.05600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833382e-08 
 6.25600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833385e-08 
 6.45600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833384e-08 
 6.65600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833386e-08 
 6.85600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833384e-08 
 7.05600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833386e-08 
 7.25600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833385e-08 
 7.45600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833387e-08 
 7.65600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833387e-08 
 7.85600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833388e-08 
 8.05600000e-12  0.00000000e+00  1.81137270e-05  1.09997009e+00  1.09997009e+00  6.70833388e-08 
 8.25600000e-12  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833389e-08 
 8.45600000e-12  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833389e-08 
 8.65600000e-12  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833390e-08 
 8.85600000e-12  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833390e-08 
 9.05600000e-12  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833391e-08 
 9.25600000e-12  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833390e-08 
 9.45600000e-12  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833392e-08 
 9.65600000e-12  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833391e-08 
 9.85600000e-12  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833392e-08 
 1.00560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833391e-08 
 1.02560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833394e-08 
 1.04560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833394e-08 
 1.06560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833395e-08 
 1.08560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833393e-08 
 1.10560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833395e-08 
 1.12560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833393e-08 
 1.14560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833396e-08 
 1.16560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833394e-08 
 1.18560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833396e-08 
 1.20560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833395e-08 
 1.22560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833397e-08 
 1.24560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833396e-08 
 1.26560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833397e-08 
 1.28560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833397e-08 
 1.30560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833398e-08 
 1.32560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833397e-08 
 1.34560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833399e-08 
 1.36560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833398e-08 
 1.38560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833400e-08 
 1.40560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833397e-08 
 1.42560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833399e-08 
 1.44560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833400e-08 
 1.46560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833401e-08 
 1.48560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833400e-08 
 1.50560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833400e-08 
 1.52560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833400e-08 
 1.54560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833401e-08 
 1.56560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833401e-08 
 1.58560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833402e-08 
 1.60560000e-11  0.00000000e+00  1.81137271e-05  1.09997009e+00  1.09997009e+00  6.70833400e-08 
 1.62560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833402e-08 
 1.64560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833402e-08 
 1.66560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833403e-08 
 1.68560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833404e-08 
 1.70560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833404e-08 
 1.72560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833404e-08 
 1.74560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833405e-08 
 1.76560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833403e-08 
 1.78560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833403e-08 
 1.80560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833403e-08 
 1.82560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833404e-08 
 1.84560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833404e-08 
 1.86560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833404e-08 
 1.88560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833406e-08 
 1.90560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833404e-08 
 1.92560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833406e-08 
 1.94560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833405e-08 
 1.96560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833406e-08 
 1.98560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833406e-08 
 2.00560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833406e-08 
 2.02560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833407e-08 
 2.04560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833408e-08 
 2.06560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833405e-08 
 2.08560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833408e-08 
